figi,ticker,name,instrument_type,updated_at
FUTVTBR03260,VBH6,VTBR-3.26 ВТБ,futures,2026-02-09 15:07:50.830796
FUTSBRF03260,SRH6,SBRF-3.26 Сбер Банк (обыкновенные),futures,2026-02-09 15:09:07.505508
FUTGLDRUBF00,GLDRUBF,GLDRUBF Золото (rub),futures,2026-02-09 15:10:22.868389
FUTSILV03260,SVH6Б,SILV-3.26 Серебро,futures,2026-02-16T19:06:16.158099
FUTSVCB03260,SCH6,SVCB-3.26 Совкомбанк,futures,2026-02-09T22:28:39.828594
FUTMMI062600,MAM6,MMI-6.26 Индекс металлов и добычи,futures,2026-02-12T22:49:49.330691
FUTPLT032600,PTH6,PLT-3.26 Платина,futures,2026-02-12T22:51:35.367548
FUTNGM022600,NRG6,NGM-2.26 Природный газ (микро),futures,2026-02-12T22:54:35.369885
FUTSILVM0326,S1H6,SILVM-3.26 Серебро (мини),futures,2026-02-16T20:59:06.150872
FUTNG0226000,NGG6,NG-2.26 Природный газ,futures,2026-02-12T23:01:16.596851
FUTRUAL03260,RLH6,RUAL-3.26 РУСАЛ,futures,2026-02-16T19:10:27.517416
FUTGAZPF0000,GAZPF,GAZPF Газпром,futures,2026-02-16T20:51:30.611796
FUTIMOEXF000,IMOEXF,IMOEXF Индекс МосБиржи,futures,2026-02-16T20:51:45.250867
